title,price
ბუჩქის საკრეჭი Raider RD-GSSL02 7.2V,"87,00 GEL"
სასხურებელი Bradas Aqua Spray AS0300 3 ლ,"35,00 GEL"
საღებავსაფრქვეველი Wagner W450 460W (2361524),"295,00 GEL"
"სასხურებელი BRADAS AS0075 0,75 ლ","3,55 GEL"
გაზონის საკრეჭი აკუმულატორის Karcher LMO 36-40 36V,"897,00 GEL"
სატუმბი სადგური Karcher BP 4.900 Home,"777,00 GEL"
ტუმბო Karcher BP 5 HOME 1100W,"717,00 GEL"
ჯაჭვური ხერხი აკუმულატორის Karcher CNS 36-35 36V,"567,00 GEL"
აკუმულატორის გაზონის საკრეჭი Karcher LMO 18-33 18V,"537,00 GEL"
მტვერსასრუტი ბაღის აკუმულატორის Karcher BLV 36-240 36V,"537,00 GEL"
ჯაჭვური ხერხი აკუმულატორის Karcher CSW18-30,"477,00 GEL"
ბუჩქის საკრეჭი აკუმულატორის Karcher HGE 36-60 36V,"417,00 GEL"
აკუმულატორი Karcher 36V 2.5Ah,"393,00 GEL"
ჯაჭვური ხერხი აკუმულატორის Karcher PSW18-30,"297,00 GEL"
ტრიმერი Karcher LTR 36-33 Battery 36V,"297,00 GEL"
დაბინძურებული წყლის წყალქვეშა ტუმბო Karcher SP 22.000 Dirt,"285,00 GEL"
ბუჩქის ტრიმერი აკუმულატორის Karcher HGE 18-45,"237,00 GEL"
ბუჩქების და ბალახის ტრიმერი აკუმულატორის Karcher GSH 18-20,"219,00 GEL"
აკუმულატორი Karcher 18V 2.5 Ah,"198,00 GEL"
სწრაფდამტენი მოწყობილობა Karcher 36V,"153,00 GEL"
სადრენაჟე ტუმბო Karcher SP 9.500 Dirt,"153,00 GEL"
"შლანგი Karcher Performance Plus 3/4"" 25 მ (2.645-322.0)","141,00 GEL"
სალესი აქსესუარებით Scheppach HG35 120W,"117,00 GEL"
სპლინკერი Karcher OS 5.320SV,"114,00 GEL"
დამტენი მოწყობილობა Karcher 18V,"111,00 GEL"
შლანგი KARCHER PriмoFlex 3/4 25 მ (2.645-142.0),"108,00 GEL"
სპლინკერი Karcher OS 5.320,"102,00 GEL"
პისტოლეტი მრავალფუნქც. Karcher Premium,"72,00 GEL"
პისტოლეტი სარწყ. Karcher 2.645-265.2,"60,00 GEL"
გამანაწილებელი 3 არხიანი Karcher 2.645-200.0 G1-G3/4,"60,00 GEL"
პისტოლეტი სარწყ. Karcher Premium Metal,"57,00 GEL"
სპლინკერი Karcher OS 3.320,"57,00 GEL"
